date,fund,asset,weight,asset_class,sector,method,sentiment_tilt
2021-04-01,Sentiment Tilt Equal Weight,V,0.01939831198940802,Equity,Financials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,WFC,0.01939831198940802,Equity,Financials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,ABBV,0.016224859172342926,Equity,Healthcare,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,ABT,0.016224859172342926,Equity,Healthcare,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,AMGN,0.016224859172342926,Equity,Healthcare,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,GILD,0.016224859172342926,Equity,Healthcare,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,MRK,0.016224859172342926,Equity,Healthcare,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,BA,0.021156737266876394,Equity,Industrials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,CAT,0.021156737266876394,Equity,Industrials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,GE,0.021156737266876394,Equity,Industrials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,MMM,0.021156737266876394,Equity,Industrials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,UPS,0.021156737266876394,Equity,Industrials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,DD,0.023728333053388544,Equity,Materials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,DOW,0.023728333053388544,Equity,Materials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,NEM,0.023728333053388544,Equity,Materials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,NUE,0.023728333053388544,Equity,Materials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,SHW,0.023728333053388544,Equity,Materials,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,AMT,0.014925843655483696,Equity,RealEstate,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,CCI,0.014925843655483696,Equity,RealEstate,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,O,0.014925843655483696,Equity,RealEstate,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,PLD,0.014925843655483696,Equity,RealEstate,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,PSA,0.014925843655483696,Equity,RealEstate,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,ADBE,0.017959366153662008,Equity,Tech,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,AMD,0.017959366153662008,Equity,Tech,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,INTC,0.017959366153662008,Equity,Tech,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,NVDA,0.017959366153662008,Equity,Tech,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,QCOM,0.017959366153662008,Equity,Tech,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,AEP,0.017206659077194472,Equity,Utilities,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,D,0.017206659077194472,Equity,Utilities,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,DUK,0.017206659077194472,Equity,Utilities,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,NEE,0.017206659077194472,Equity,Utilities,equal_weight,True
2021-04-01,Sentiment Tilt Equal Weight,SO,0.017206659077194472,Equity,Utilities,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,CMCSA,0.021891695726113766,Equity,Comm,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,EA,0.021891695726113766,Equity,Comm,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,T,0.021891695726113766,Equity,Comm,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,TMUS,0.021891695726113766,Equity,Comm,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,TTWO,0.021891695726113766,Equity,Comm,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,DIS,0.017809129375415338,Equity,Consumer,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,KO,0.017809129375415338,Equity,Consumer,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,NKE,0.017809129375415338,Equity,Consumer,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,SBUX,0.017809129375415338,Equity,Consumer,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,WMT,0.017809129375415338,Equity,Consumer,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,COP,0.0276852052738694,Equity,Energy,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,CVX,0.0276852052738694,Equity,Energy,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,OXY,0.0276852052738694,Equity,Energy,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,SLB,0.0276852052738694,Equity,Energy,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,XOM,0.0276852052738694,Equity,Energy,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,GS,0.017127406052339315,Equity,Financials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,MS,0.017127406052339315,Equity,Financials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,USB,0.017127406052339315,Equity,Financials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,V,0.017127406052339315,Equity,Financials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,WFC,0.017127406052339315,Equity,Financials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,ABBV,0.023424921831766247,Equity,Healthcare,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,ABT,0.023424921831766247,Equity,Healthcare,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,AMGN,0.023424921831766247,Equity,Healthcare,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,GILD,0.023424921831766247,Equity,Healthcare,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,MRK,0.023424921831766247,Equity,Healthcare,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,BA,0.015774680055894233,Equity,Industrials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,CAT,0.015774680055894233,Equity,Industrials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,GE,0.015774680055894233,Equity,Industrials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,MMM,0.015774680055894233,Equity,Industrials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,UPS,0.015774680055894233,Equity,Industrials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,DD,0.009998424347224507,Equity,Materials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,DOW,0.009998424347224507,Equity,Materials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,NEM,0.009998424347224507,Equity,Materials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,NUE,0.009998424347224507,Equity,Materials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,SHW,0.009998424347224507,Equity,Materials,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,AMT,0.0278191070098947,Equity,RealEstate,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,CCI,0.0278191070098947,Equity,RealEstate,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,O,0.0278191070098947,Equity,RealEstate,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,PLD,0.0278191070098947,Equity,RealEstate,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,PSA,0.0278191070098947,Equity,RealEstate,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,ADBE,0.012465741277837903,Equity,Tech,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,AMD,0.012465741277837903,Equity,Tech,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,INTC,0.012465741277837903,Equity,Tech,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,NVDA,0.012465741277837903,Equity,Tech,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,QCOM,0.012465741277837903,Equity,Tech,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,AEP,0.02600368904964462,Equity,Utilities,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,D,0.02600368904964462,Equity,Utilities,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,DUK,0.02600368904964462,Equity,Utilities,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,NEE,0.02600368904964462,Equity,Utilities,equal_weight,True
2021-05-03,Sentiment Tilt Equal Weight,SO,0.02600368904964462,Equity,Utilities,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,CMCSA,0.03007009836564488,Equity,Comm,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,EA,0.03007009836564488,Equity,Comm,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,T,0.03007009836564488,Equity,Comm,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,TMUS,0.03007009836564488,Equity,Comm,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,TTWO,0.03007009836564488,Equity,Comm,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,DIS,0.030012035497865252,Equity,Consumer,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,KO,0.030012035497865252,Equity,Consumer,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,NKE,0.030012035497865252,Equity,Consumer,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,SBUX,0.030012035497865252,Equity,Consumer,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,WMT,0.030012035497865252,Equity,Consumer,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,COP,0.012673701170946721,Equity,Energy,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,CVX,0.012673701170946721,Equity,Energy,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,OXY,0.012673701170946721,Equity,Energy,equal_weight,True
2021-06-01,Sentiment Tilt Equal Weight,SLB,0.012673701170946721,Equity,Energy,equal_weight,True
