date,sector,sentiment_compound,base_sentiment_compound,sentiment_pos,sentiment_neu,sentiment_neg,total_headlines,tickers_with_news,ticker_count,coverage_rate,sentiment_score_0_100,finance_lexicon_effect,sentiment_lag1,sentiment_score_lag1,sentiment_z_full_sample,sentiment_signal_z,sentiment_21d_avg,sentiment_score_21d_avg
2020-09-08,Healthcare,0.047805,0.047805,0.031558333333333334,0.9684416666666668,0.0,15,5,5,1.0,52.39025,0.0,0.002841428571428578,50.142071428571434,-0.5377361487787791,-1.0690302162330916,0.06251901587301588,53.12595079365079
2020-09-09,Healthcare,0.133745,0.133745,0.11225,0.8564499999999999,0.03125,9,3,5,0.6,56.68725,0.0,0.047805,52.39025,0.3435946910953186,-0.6419304268904004,0.06403814285714285,53.201907142857145
2020-09-10,Healthcare,0.12738,0.12738,0.0688,0.9311999999999999,0.0,1,1,5,0.2,56.369,0.0,0.133745,56.68725,0.27832042072298163,0.17023207246139843,0.06686576190476191,53.343288095238094
2020-09-11,Healthcare,-0.05620666666666667,-0.05620666666666667,0.09383333333333335,0.8021,0.1044,14,5,5,1.0,47.18966666666667,0.0,0.12738,56.369,-1.6043953242504805,0.10955638619061758,0.0622625873015873,53.11312936507937
2020-09-14,Healthcare,0.12028834782608695,0.12028834782608695,0.11868434782608697,0.864708695652174,0.01660695652173913,39,5,5,1.0,56.01441739130435,0.0,-0.05620666666666667,47.18966666666667,0.20559419583899569,-1.619354355462923,0.07436869910282953,53.71843495514147
2020-09-15,Healthcare,0.16348666666666667,0.16348666666666667,0.14581666666666665,0.8167333333333333,0.03745,14,5,5,1.0,58.17433333333333,0.0,0.12028834782608695,56.01441739130435,0.6486010683653766,0.05102840071219412,0.08215377846790889,54.107688923395436
2020-09-16,Healthcare,0.0,0.0,0.0,1.0,0.0,3,3,5,0.6,50.0,0.0,0.16348666666666667,58.17433333333333,-1.0279854017480743,0.45948679532571457,0.06880473084886127,53.44023654244306
2020-09-17,Healthcare,0.080055,0.081785,0.11896666666666667,0.8406333333333332,0.040400000000000005,13,5,5,1.0,54.00275,-0.0017299999999999954,0.0,50.0,-0.20700634210040286,-1.089032931027705,0.07697544513457556,53.848772256728786
2020-09-18,Healthcare,-0.02179399999999999,-0.03865399999999999,0.11671000000000001,0.78455,0.09874,13,4,5,0.8,48.9103,0.016859999999999997,0.080055,54.00275,-1.2514869647480287,-0.3268809062832475,0.06920660386473429,53.460330193236715
2020-09-21,Healthcare,-0.23964600000000003,-0.23964600000000003,0.05444,0.812,0.1336,9,4,5,0.8,38.0177,0.0,-0.02179399999999999,48.9103,-3.485600138220823,-1.288078851199245,0.05568727053140096,52.78436352657005
2020-09-22,Healthcare,0.40259,0.40259,0.23759999999999998,0.7521,0.0104,5,4,5,0.8,70.12950000000001,0.0,-0.23964600000000003,38.0177,3.100650656256498,-3.0,0.0712006038647343,53.56003019323671
2020-09-23,Healthcare,0.06859333333333331,0.06859333333333331,0.07763333333333333,0.8753666666666666,0.046933333333333334,5,2,5,0.4,53.42966666666666,0.0,0.40259,70.12950000000001,-0.3245478863136947,2.6341179564916293,0.06583028640441684,53.291514320220834
2020-09-24,Healthcare,-0.10301,-0.10301,0.009,0.9254999999999999,0.0656,4,3,5,0.6,44.8495,0.0,0.06859333333333331,53.42966666666666,-2.0843722974361216,-0.4052276038298663,0.056332296986427416,52.81661484932137
2020-09-25,Healthcare,0.10967333333333333,0.10967333333333333,0.08596666666666666,0.9140333333333335,0.0,5,2,5,0.4,55.483666666666664,0.0,-0.10301,44.8495,0.09673522867383084,-1.9453726463398842,0.05595655095468138,52.79782754773408
2020-09-28,Healthcare,0.05105533333333334,0.02046866666666667,0.07831666666666667,0.8820833333333333,0.0396,14,4,5,0.8,52.55276666666666,0.03058666666666667,0.10967333333333333,55.483666666666664,-0.5044033700199071,-0.019534034161567716,0.04892055095468139,52.44602754773407
2020-09-29,Healthcare,0.21181999999999998,0.21181999999999998,0.1604142857142857,0.8358714285714285,0.0037142857142857142,11,4,5,0.8,60.590999999999994,0.0,0.05105533333333334,52.55276666666666,1.1442684788911082,-0.5498105106569385,0.05967591603404646,52.98379580170232
2020-09-30,Healthcare,0.239505,0.147745,0.1472,0.8528,0.0,8,4,5,0.8,61.97525,0.09176000000000001,0.21181999999999998,60.590999999999994,1.4281833532443127,0.9080840011860073,0.062150334023464454,53.10751670117322
2020-10-01,Healthcare,0.0030516666666666747,0.10295166666666666,0.09499333333333333,0.8372466666666666,0.06776,13,4,5,0.8,50.15258333333333,-0.09989999999999999,0.239505,61.97525,-0.9966899869662599,1.1528552372281942,0.05851492586019915,52.92574629300996
2020-10-02,Healthcare,-0.08116000000000001,-0.08116000000000001,0.032,0.8948,0.0732,6,4,5,0.8,45.942,0.0,0.0030516666666666747,50.15258333333333,-1.8602964439191445,-0.9917911856062216,0.06121492586019915,53.06074629300995
2020-10-05,Healthcare,0.09545555555555556,0.08913222222222222,0.13834444444444444,0.7717555555555555,0.08990000000000001,20,5,5,1.0,54.77277777777778,0.006323333333333334,-0.08116000000000001,45.942,-0.04907075259254298,-1.7388669544384892,0.06454899993427322,53.227449996713666
2020-10-06,Healthcare,0.07409333333333333,0.07409333333333333,0.0474,0.9402000000000001,0.0124,8,4,5,0.8,53.70466666666667,0.0,0.09545555555555556,54.77277777777778,-0.2681443533918009,-0.1412735327592026,0.06794194778007821,53.39709738900391
2020-10-07,Healthcare,0.1736247619047619,0.1665247619047619,0.12253333333333334,0.8539,0.023516666666666665,15,4,5,0.8,58.6812380952381,0.007099999999999995,0.07409333333333333,53.70466666666667,0.7525691390066851,-0.3339910443109762,0.0739333650136383,53.69666825068192
2020-10-08,Healthcare,0.014838333333333337,0.014838333333333337,0.04548888888888889,0.9329611111111111,0.021550000000000003,18,4,5,0.8,50.74191666666666,0.0,0.1736247619047619,58.6812380952381,-0.8758155067166745,0.5685591655578428,0.06827114279141608,53.413557139570806
2020-10-09,Healthcare,-0.093736,-0.093736,0.042960000000000005,0.8724399999999999,0.0846,7,3,5,0.6,45.313199999999995,0.0,0.014838333333333337,50.74191666666666,-1.989265685742005,-0.8729744928621626,0.05774180945808274,52.887090472904134
2020-10-12,Healthcare,0.0482925,0.0482925,0.047175,0.93605,0.016775,17,4,5,0.8,52.414625,0.0,-0.093736,45.313199999999995,-0.5327367447243384,-1.841004847379228,0.06271796025173354,53.13589801258668
2020-10-13,Healthcare,-0.05197999999999999,-0.05197999999999999,0.01465,0.9397500000000001,0.0456,8,4,5,0.8,47.400999999999996,0.0,0.0482925,52.414625,-1.5610500637989888,-0.5534398070901779,0.05451470559334845,52.72573527966742
2020-10-14,Healthcare,0.11088400000000001,0.11088400000000001,0.09842999999999999,0.8914899999999999,0.01008,11,4,5,0.8,55.5442,0.0,-0.05197999999999999,47.400999999999996,0.10915084270851688,-1.4512446981094878,0.052009816704459554,52.60049083522298
2020-10-15,Healthcare,0.22815333333333335,0.18227333333333334,0.14346666666666666,0.8565333333333334,0.0,10,5,5,1.0,61.40766666666667,0.045880000000000004,0.11088400000000001,55.5442,1.311769879689459,0.021445203381726726,0.062874261148904,53.1437130574452
2020-10-16,Healthcare,0.002544615384615384,0.002544615384615384,0.029738461538461537,0.9339384615384615,0.03632307692307692,16,3,5,0.6,50.12723076923077,0.0,0.22815333333333335,61.40766666666667,-1.0018898930899451,1.0786775709933847,0.05918329045293331,52.95916452264665
2020-10-19,Healthcare,0.15708833333333333,0.17096166666666665,0.13313333333333333,0.8386666666666667,0.028200000000000003,20,5,5,1.0,57.854416666666665,-0.01387333333333332,0.002544615384615384,50.12723076923077,0.5829849583995736,-0.9610932780020423,0.06770149680213966,53.38507484010698
2020-10-20,Healthcare,0.22175000000000003,0.22175000000000003,0.11553333333333334,0.8844666666666667,0.0,9,4,5,0.8,61.087500000000006,0.0,0.15708833333333333,57.854416666666665,1.2461024937846366,0.4382906901094765,0.08967273489737776,54.483636744868896
2020-10-21,Healthcare,0.17272,0.16009600000000002,0.14038666666666666,0.8314133333333332,0.028199999999999996,9,3,5,0.6,58.635999999999996,0.012623999999999996,0.22175000000000003,61.087500000000006,0.7432906357554647,1.0203482144576184,0.07872654442118728,53.936327221059365
2020-10-22,Healthcare,-0.022653999999999997,-0.022653999999999997,0.042359999999999995,0.90292,0.054720000000000005,7,2,5,0.4,48.8673,0.0,0.17272,58.635999999999996,-1.260306426259452,0.5732563612910184,0.07438143331007617,53.719071665503805
2020-10-23,Healthcare,0.030576000000000002,0.030576000000000002,0.04575,0.9237,0.03055,23,3,5,0.6,51.5288,0.0,-0.022653999999999997,48.8673,-0.7144227794535617,-1.196596309371037,0.08074267140531426,54.03713357026571
2020-10-26,Healthcare,0.016857777777777777,0.016857777777777777,0.014755555555555555,0.9784444444444444,0.0068000000000000005,16,4,5,0.8,50.84288888888889,0.0,0.030576000000000002,51.5288,-0.8551057246791915,-0.7103582224298803,0.07632288304552591,53.81614415227629
2020-10-27,Healthcare,0.07732285714285715,0.06143714285714286,0.13735714285714287,0.7821857142857143,0.08065714285714286,12,5,5,1.0,53.86614285714286,0.015885714285714295,0.016857777777777777,50.84288888888889,-0.23502498020770707,-0.8317273124792828,0.07757371751264608,53.8786858756323
